AMT Concat,Concat Code,Comp Code,Mod Code,AMT Model,AMT Serial Prefix,AMT Component Code,AMT Modifier Code,MacMahon Serial Prefix,Functional Location,Position Code,Maintenance Item Description,Functional Location Code,Customer data Concat
1701353LT,1701353LT,1353,LT,6040,170,1353 - RADIATOR,LT - LEFT,170,EXBH054-ENG1-COSY,LH,18000H RADIATOR CHANGE LH,ENG1-COSY,170ENG1-COSYLH
1701353RI,1701353RI,1353,RI,6040,170,1353 - RADIATOR,RI - RIGHT,170,EXBH054-ENG2-COSY,RH,18000H RADIATOR CHANGE RH,ENG2-COSY,170ENG2-COSYRH
1704050LT,1704050LT,4050,LT,6040,170,4050 - FINAL DRIVE,LT - LEFT,170,EXBH054-UCRG-FIDV-FIDL,LH,18000H FINAL DRIVE CHANGE LH,UCRG-FIDV-FIDL,170UCRG-FIDV-FIDLLH
1704050RI,1704050RI,4050,RI,6040,170,4050 - FINAL DRIVE,RI - RIGHT,170,EXBH054-UCRG-FIDV-FIDR,RH,18000H FINAL DRIVE CHANGE RH,UCRG-FIDV-FIDR,170UCRG-FIDV-FIDRRH
1704159LT,1704159LT,4159,LT,6040,170,4159 - IDLER/IDLER WHEEL,LT - LEFT,170,EXBH054-UCRG-TCID,LH,10000H IDLER CHANGE LH,UCRG-TCID,170UCRG-TCIDLH
1704159RI,1704159RI,4159,RI,6040,170,4159 - IDLER/IDLER WHEEL,RI - RIGHT,170,EXBH054-UCRG-TCID,RH,10000H IDLER CHANGE RH,UCRG-TCID,170UCRG-TCIDRH
1704170RI,1704170RI,4170,RI,6040,170,4170 - TRACK ASSEMBLY,RI - RIGHT,170,EXBH054-TCKS,RH,16000H TRACK CHANGE RH,TCKS,170TCKSRH
1704170LT,1704170LT,4170,LT,6040,170,4170 - TRACK ASSEMBLY,LT - LEFT,170,EXBH054-TCKS,LH,16000H TRACK CHANGE LH,TCKS,170TCKSLH
1704351LF,1704351LF,4351,LF,6040,170,4351 - HYD PROPEL/DRIVE MOTOR,LF - LEFT FRONT,170,EXBH054-HYSY-MOHY,LHF,15000H TRAVEL MOTOR CHANGE LHF,HYSY-MOHY,170HYSY-MOHYLHF
1704351LR,1704351LR,4351,LR,6040,170,4351 - HYD PROPEL/DRIVE MOTOR,LR - LEFT REAR,170,EXBH054-HYSY-MOHY,LHR,15000H TRAVEL MOTOR CHANGE LHR,HYSY-MOHY,170HYSY-MOHYLHR
1704351RF,1704351RF,4351,RF,6040,170,4351 - HYD PROPEL/DRIVE MOTOR,RF - RIGHT FRONT,170,EXBH054-HYSY-MOHY,RHF,15000H TRAVEL MOTOR CHANGE RHF,HYSY-MOHY,170HYSY-MOHYRHF
1704351RR,1704351RR,4351,RR,6040,170,4351 - HYD PROPEL/DRIVE MOTOR,RR - RIGHT REAR,170,EXBH054-HYSY-MOHY,RHR,15000H TRAVEL MOTOR CHANGE RHR,HYSY-MOHY,170HYSY-MOHYRHR
170508400,170508400,5084,00,6040,170,5084 - IMPLEMENT PUMP,00 - (NONE),170,EXBH054-HYSY-PUHY,POS.3,12000H MAIN PUMP CHANGE POS.3,HYSY-PUHY,170HYSY-PUHYPOS.3
1705084P0,1705084P0,5084,P0,6040,170,5084 - IMPLEMENT PUMP,P02,170,EXBH054-HYSY-PUHY,POS.2,12000H MAIN PUMP CHANGE POS.2,HYSY-PUHY,170HYSY-PUHYPOS.2
1705459RF,1705459RF,5459,RF,6040,170,5459 - SWING DRIVE,RF - RIGHT FRONT,170,EXBH054-SURE-TMSG-SGB2,RHF,15000H SWING DRIVE CHANGE RHF,SURE-TMSG-SGB2,170SURE-TMSG-SGB2RHF
1705459LR,1705459LR,5459,LR,6040,170,5459 - SWING DRIVE,LR - LEFT REAR,170,EXBH054-SURE-TMSG-SGB3,LHR,15000H SWING DRIVE CHANGE LHR,SURE-TMSG-SGB3,170SURE-TMSG-SGB3LHR
1705459RR,1705459RR,5459,RR,6040,170,5459 - SWING DRIVE,RR - RIGHT REAR,170,EXBH054-SURE-TMSG-SGB4,RHR,15000H SWING DRIVE CHANGE RHR,SURE-TMSG-SGB4,170SURE-TMSG-SGB4RHR
185100000,185100000,1000,00,R9350,185,1000 - ENGINE,00 - (NONE),185,EXBH011-ENGI,,8000H ENGINE HALF LIFE,ENGI,185ENGI
185135300,185135300,1353,00,R9350,185,1353 - RADIATOR,00 - (NONE),185,EXBH011-ENGI-COSY,,16000H RADIATOR CHANGE,ENGI-COSY,185ENGI-COSY
185310800,185310800,3108,00,R9350,185,3108 - Pump Drive,00 - (NONE),185,EXBH011-PUDR,,12000H PUMP DRIVE CHANGE,PUDR,185PUDR
1854050RI,1854050RI,4050,RI,R9350,185,4050 - FINAL DRIVE,RI - RIGHT,185,EXBH011-UCRG-FIDV,RH,12000H FINAL DRIVE CHANGE RH,UCRG-FIDV,185UCRG-FIDVRH
1854050LT,1854050LT,4050,LT,R9350,185,4050 - FINAL DRIVE,LT - LEFT,185,EXBH011-UCRG-FIDV,LH,12000H FINAL DRIVE CHANGE LH,UCRG-FIDV,185UCRG-FIDVLH
1854159LT,1854159LT,4159,LT,R9350,185,4159 - IDLER/IDLER WHEEL,LT - LEFT,185,EXBH011-UCRG,LH,15000H IDLER CHANGE LH,UCRG,185UCRGLH
1854159RI,1854159RI,4159,RI,R9350,185,4159 - IDLER/IDLER WHEEL,RI - RIGHT,185,EXBH011-UCRG,RH,15000H IDLER CHANGE RH,UCRG,185UCRGRH
1854351LF,1854351LF,4351,LF,R9350,185,4351 - HYD PROPEL/DRIVE MOTOR,LF - LEFT FRONT,185,EXBH011-HYSY-MOHY,LHF,12000H TRAVEL MOTOR CHANGE LHF,HYSY-MOHY,185HYSY-MOHYLHF
1854351LR,1854351LR,4351,LR,R9350,185,4351 - HYD PROPEL/DRIVE MOTOR,LR - LEFT REAR,185,EXBH011-HYSY-MOHY,LHR,12000H TRAVEL MOTOR CHANGE LHR,HYSY-MOHY,185HYSY-MOHYLHR
1854351RF,1854351RF,4351,RF,R9350,185,4351 - HYD PROPEL/DRIVE MOTOR,RF - RIGHT FRONT,185,EXBH011-HYSY-MOHY,RHF,12000H TRAVEL MOTOR CHANGE RHF,HYSY-MOHY,185HYSY-MOHYRHF
1854351RR,1854351RR,4351,RR,R9350,185,4351 - HYD PROPEL/DRIVE MOTOR,RR - RIGHT REAR,185,EXBH011-HYSY-MOHY,RHR,12000H TRAVEL MOTOR CHANGE RHR,HYSY-MOHY,185HYSY-MOHYRHR
185508400,185508400,5084,00,R9350,185,5084 - IMPLEMENT PUMP,00 - (NONE),185,EXBH011-HYSY,POS.3-4,12000H MAIN PUMP POS.3-4,HYSY,185HYSYPOS.3-4
1855459FR,1855459FR,5459,FR,R9350,185,5459 - SWING DRIVE,FR - FRONT,185,EXBH011-SURE-TMSG-SGBF,FR,12000H SWING DRIVE CHANGE FR,SURE-TMSG-SGBF,185SURE-TMSG-SGBFFR
1855459RE,1855459RE,5459,RE,R9350,185,5459 - SWING DRIVE,RE - REAR,185,EXBH011-SURE-TMSG-SGBR,RR,12000H SWING DRIVE CHANGE RR,SURE-TMSG-SGBR,185SURE-TMSG-SGBRRR
1855473P0,1855473P0,5473,P0,R9350,185,5473 - SWING PUMP,P01,185,EXBH011-HYSY,POS.1-2,12000H SWING PUMP POS.1-2,HYSY,185HYSYPOS.1-2
18579PAFR,18579PAFR,79PA,FR,R9350,185,79PA - SWING DRIVE MOTOR,FR - FRONT,185,EXBH011-HYSY-MOHY,FR,12000H SWING MOTOR CHANGE FR,HYSY-MOHY,185HYSY-MOHYFR
18579PARE,18579PARE,79PA,RE,R9350,185,79PA - SWING DRIVE MOTOR,RE - REAR,185,EXBH011-HYSY-MOHY,RR,12000H SWING MOTOR CHANGE RR,HYSY-MOHY,185HYSY-MOHYRR
3401000RI,3401000RI,1000,RI,6060,340,1000 - ENGINE,RI - RIGHT,340,EXBH047-ENG2,RH,14300H ENGINE CHANGE RH,ENG2,340ENG2RH
3401000LT,3401000LT,1000,LT,6060,340,1000 - ENGINE,LT - LEFT,340,EXBH047-ENG1,LH,14300H ENGINE CHANGE LH,ENG1,340ENG1LH
3401353LT,3401353LT,1353,LT,6060,340,1353 - RADIATOR,LT - LEFT,340,EXBH047-ENG1-COSY-RADT,LH,14300H RADIATOR CHANGE LH,ENG1-COSY-RADT,340ENG1-COSY-RADTLH
3401353RI,3401353RI,1353,RI,6060,340,1353 - RADIATOR,RI - RIGHT,340,EXBH047-ENG2-COSY-RADT,RH,14300H RADIATOR CHANGE RH,ENG2-COSY-RADT,340ENG2-COSY-RADTRH
3403108RI,3403108RI,3108,RI,6060,340,3108 - PUMP DRIVE GRP,RI - RIGHT,340,EXBH047-PUD2,RH,16500H PUMP DRIVE CHANGE RH,PUD2,340PUD2RH
3404028LT,3404028LT,4028,LT,6060,340,4028 - TRACK FRAME,LT - LEFT,340,EXBH009-UCRG-TCFS-TCFL,LH,22000H TRACK ROLLER FRAME CHANGE LH,UCRG-TCFS-TCFL,340UCRG-TCFS-TCFLLH
3404028RI,3404028RI,4028,RI,6060,340,4028 - TRACK FRAME,RI - RIGHT,340,EXBH009-UCRG-TCFS-TCFR,RH,22000H TRACK ROLLER FRAME CHANGE RH,UCRG-TCFS-TCFR,340UCRG-TCFS-TCFRRH
3404050RI,3404050RI,4050,RI,6060,340,4050 - FINAL DRIVE,RI - RIGHT,340,EXBH047-UCRG-FIDV-FIDR,RH,33000H FINAL DRIVE CHANGE RH,UCRG-FIDV-FIDR,340UCRG-FIDV-FIDRRH
3404050LT,3404050LT,4050,LT,6060,340,4050 - FINAL DRIVE,LT - LEFT,340,EXBH047-UCRG-FIDV-FIDL,LH,33000H FINAL DRIVE CHANGE LH,UCRG-FIDV-FIDL,340UCRG-FIDV-FIDLLH
3404159RI,3404159RI,4159,RI,6060,340,4159 - IDLER/IDLER WHEEL,RI - RIGHT,340,EXBH009-UCRG-TCID-TCIR,RH,22000H IDLER CHANGE RH,UCRG-TCID-TCIR,340UCRG-TCID-TCIRRH
3404159LT,3404159LT,4159,LT,6060,340,4159 - IDLER/IDLER WHEEL,LT - LEFT,340,EXBH009-UCRG-TCID-TCIL,LH,22000H IDLER CHANGE LH,UCRG-TCID-TCIL,340UCRG-TCID-TCILLH
3404164LT,3404164LT,4164,LT,6060,340,4164 - SPROCKET ASSEMBLY,LT - LEFT,340,EXBH047-UCRG-DRSP-DRSL,LH,22000H DRIVE SPROCKET CHANGE LH,UCRG-DRSP-DRSL,340UCRG-DRSP-DRSLLH
3404164RI,3404164RI,4164,RI,6060,340,4164 - SPROCKET ASSEMBLY,RI - RIGHT,340,EXBH047-UCRG-DRSP-DRSR,RH,22000H DRIVE SPROCKET CHANGE RH,UCRG-DRSP-DRSR,340UCRG-DRSP-DRSRRH
3404351LR,3404351LR,4351,LR,6060,340,4351 - HYD PROPEL/DRIVE MOTOR,LR - LEFT REAR,340,EXBH009-HYSY-MOHY-TRLL,LHR,16500H TRAVEL MOTOR CHANGE LHR,HYSY-MOHY-TRLL,340HYSY-MOHY-TRLLLHR
3404351RF,3404351RF,4351,RF,6060,340,4351 - HYD PROPEL/DRIVE MOTOR,RF - RIGHT FRONT,340,EXBH009-HYSY-MOHY-TRLR,RHF,16500H TRAVEL MOTOR CHANGE RHF,HYSY-MOHY-TRLR,340HYSY-MOHY-TRLRRHF
3405070LF,3405070LF,5070,LF,6060,340,5070 - PISTON PUMP,LF - LEFT FRONT,340,,,,,
3405070RF,3405070RF,5070,RF,6060,340,5070 - PISTON PUMP,RF - RIGHT FRONT,340,,,,,
3405070LR,3405070LR,5070,LR,6060,340,5070 - PISTON PUMP,LR - LEFT REAR,340,,,,,
3405070RR,3405070RR,5070,RR,6060,340,5070 - PISTON PUMP,RR - RIGHT REAR,340,,,,,
3405070LT,3405070LT,5070,LT,6060,340,5070 - PISTON PUMP,LT - LEFT,340,,,,,
340507000,340507000,5070,00,6060,340,5070 - PISTON PUMP,00 - (NONE),340,,,,,
3405070RI,3405070RI,5070,RI,6060,340,5070 - PISTON PUMP,RI - RIGHT,340,,,,,
3405084P0,3405084P0,5084,P0,6060,340,5084 - IMPLEMENT PUMP,P01,340,EXBH047-HYSY-PUHY-PUM1,P1,13200H IMPLEMENT PUMP CHANGE POS.1,HYSY-PUHY-PUM1,340HYSY-PUHY-PUM1P1
340508400,340508400,5084,00,6060,340,5084 - IMPLEMENT PUMP,00 - (NONE),340,EXBH047-HYSY-PUHY-PUM4,P4,13200H IMPLEMENT PUMP CHANGE POS.4,HYSY-PUHY-PUM4,340HYSY-PUHY-PUM4P4
3405456LT,3405456LT,5456,LT,6060,340,5456 - BOOM CYLINDER,LT - LEFT,340,EXBH047-HYSY-CYHY-CYBL,LH,13200H BOOM CYLINDER CHANGE LH,HYSY-CYHY-CYBL,340HYSY-CYHY-CYBLLH
3405456RI,3405456RI,5456,RI,6060,340,5456 - BOOM CYLINDER,RI - RIGHT,340,EXBH009-HYSY-CYHY-CYBR,RH,13200H BOOM CYLINDER CHANGE RH,HYSY-CYHY-CYBR,340HYSY-CYHY-CYBRRH
3405459LF,3405459LF,5459,LF,6060,340,5459 - SWING DRIVE,LF - LEFT FRONT,340,EXBH047-SURE-TMSG-SGB1,LHF,16500H SWING DRIVE CHANGE LHF,SURE-TMSG-SGB1,340SURE-TMSG-SGB1LHF
3405459RF,3405459RF,5459,RF,6060,340,5459 - SWING DRIVE,RF - RIGHT FRONT,340,EXBH047-SURE-TMSG-SGB2,RHF,16500H SWING DRIVE CHANGE RHF,SURE-TMSG-SGB2,340SURE-TMSG-SGB2RHF
3405459LR,3405459LR,5459,LR,6060,340,5459 - SWING DRIVE,LR - LEFT REAR,340,EXBH047-SURE-TMSG-SGB3,LHR,16500H SWING DRIVE CHANGE LHR,SURE-TMSG-SGB3,340SURE-TMSG-SGB3LHR
3405459RR,3405459RR,5459,RR,6060,340,5459 - SWING DRIVE,RR - RIGHT REAR,340,EXBH047-SURE-TMSG-SGB4,RHR,16500H SWING DRIVE CHANGE RHR,SURE-TMSG-SGB4,340SURE-TMSG-SGB4RHR
3405459RI,3405459RI,5459,RI,6060,340,5459 - SWING DRIVE,RI - RIGHT,340,EXBH009-SURE-TMSG-SGB4,RHR,16500H SWING DRIVE CHANGE RHR,SURE-TMSG-SGB4,340SURE-TMSG-SGB4RHR
3405473LT,3405473LT,5473,LT,6060,340,5473 - SWING PUMP,LT - LEFT,340,EXBH047-HYSY-PUHY,LHP2,13200H SWING PUMP CHANGE LH POS.2,HYSY-PUHY,340HYSY-PUHYLHP2
442100000,442100000,1000,00,994F,442,1000 - ENGINE,00 - (NONE),442,LOFE043-ENGI,,19800H ENGINE CHANGE,ENGI,442ENGI
442135300,442135300,1353,00,994F,442,1353 - RADIATOR,00 - (NONE),442,LOFE043-ENGI-COSY,,19800H RADIATOR CHANGE,ENGI-COSY,442ENGI-COSY
442300600,442300600,3006,00,994F,442,3006 - TRANSMISSION & DIFFERENTIAL UNIT,00 - (NONE),442,LOFE043-DRIV,,11000H TRANSFER GEARS CHANGE,DRIV,442DRIV
442303000,442303000,3030,00,994F,442,3030 - TRANSMISSION,00 - (NONE),442,LOFE043-DRIV-TMSN,,11000H TRANSMISSION CHANGE,DRIV-TMSN,442DRIV-TMSN
442310100,442310100,3101,00,994F,442,3101 - TORQUE CONVERTER,00 - (NONE),442,LOFE043-DRIV-TQCV,,19800H TORQUE CONVERTER CHANGE,DRIV-TQCV,442DRIV-TQCV
4423108RE,4423108RE,3108,RE,994F,442,3108 - PUMP DRIVE GRP,RE - REAR,442,LOFE043-DRIV,RR,16500H PUMP DRIVE CHANGE RR,DRIV,442DRIVRR
4423258RE,4423258RE,3258,RE,994F,442,3258 - DIFFERENTIAL,RE - REAR,442,LOFE043-DRIV-DIFF,RR,16500H DIFFERENTIAL CHANGE RR,DRIV-DIFF,442DRIV-DIFFRR
4423258FR,4423258FR,3258,FR,994F,442,3258 - DIFFERENTIAL,FR - FRONT,442,LOFE043-DRIV-DIFF,FR,16500H DIFFERENTIAL CHANGE FR,DRIV-DIFF,442DRIV-DIFFFR
4424050LR,4424050LR,4050,LR,994F,442,4050 - FINAL DRIVE,LR - LEFT REAR,442,LOFE043-DRIV-FIDV,LHR,19800H WHEEL END CHANGE LHR,DRIV-FIDV,442DRIV-FIDVLHR
4424050RF,4424050RF,4050,RF,994F,442,4050 - FINAL DRIVE,RF - RIGHT FRONT,442,LOFE043-DRIV-FIDV,RHF,19800H WHEEL END CHANGE RHF,DRIV-FIDV,442DRIV-FIDVRHF
4424050LF,4424050LF,4050,LF,994F,442,4050 - FINAL DRIVE,LF - LEFT FRONT,442,LOFE043-DRIV-FIDV,LHF,19800H WHEEL END CHANGE LHF,DRIV-FIDV,442DRIV-FIDVLHF
4424050RR,4424050RR,4050,RR,994F,442,4050 - FINAL DRIVE,RR - RIGHT REAR,442,LOFE043-DRIV-FIDV,RHR,19800H WHEEL END CHANGE RHR,DRIV-FIDV,442DRIV-FIDVRHR
442405000,442405000,4050,00,994F,442,4050 - FINAL DRIVE,00 - (NONE),442,LOFE043-DRIV-DRSH,,16500H DRIVE SHAFT CHANGE,DRIV-DRSH,442DRIV-DRSH
615100000,615100000,1000,00,WA600-6LC,615,1000 - ENGINE,00 - (NONE),615,LOFE137-ENGI,,18000H ENGINE CHANGE,ENGI,615ENGI
615135300,615135300,1353,00,WA600-6LC,615,1353 - RADIATOR,00 - (NONE),615,LOFE137-ENGI-COSY,,18000H RADIATOR CHANGE,ENGI-COSY,615ENGI-COSY
615303000,615303000,3030,00,WA600-6LC,615,3030 - TRANSMISSION,00 - (NONE),615,LOFE137-DRIV-TMSN,,18000H TRANSMISSION CHANGE,DRIV-TMSN,615DRIV-TMSN
615310100,615310100,3101,00,WA600-6LC,615,3101 - TORQUE CONVERTER,00 - (NONE),615,LOFE137-DRIV-TQCV,,18000H TORQUE CONVERTER CHANGE,DRIV-TQCV,615DRIV-TQCV
6153258FR,6153258FR,3258,FR,WA600-6LC,615,3258 - DIFFERENTIAL,FR - FRONT,615,LOFE137-DRIV-DIFF,FR,18000H DIFFERENTIAL CHANGE FR,DRIV-DIFF,615DRIV-DIFFFR
6153258RE,6153258RE,3258,RE,WA600-6LC,615,3258 - DIFFERENTIAL,RE - REAR,615,LOFE137-DRIV-DIFF,RR,18000H DIFFERENTIAL CHANGE RR,DRIV-DIFF,615DRIV-DIFFRR
6154008RI,6154008RI,4008,RI,WA600-6LC,615,"4008 - FINAL DRIVE, BRAKE & WHEEL",RI - RIGHT,615,LOFE136-DRIV-FIDV,RHR,18000H WHEEL END CHANGE RHR,DRIV-FIDV,615DRIV-FIDVRHR
6154050LF,6154050LF,4050,LF,WA600-6LC,615,4050 - FINAL DRIVE,LF - LEFT FRONT,615,LOFE137-DRIV-FIDV,LHF,18000H WHEEL END CHANGE LHF,DRIV-FIDV,615DRIV-FIDVLHF
6154050RF,6154050RF,4050,RF,WA600-6LC,615,4050 - FINAL DRIVE,RF - RIGHT FRONT,615,LOFE137-DRIV-FIDV,RHF,18000H WHEEL END CHANGE RHF,DRIV-FIDV,615DRIV-FIDVRHF
6154050LR,6154050LR,4050,LR,WA600-6LC,615,4050 - FINAL DRIVE,LR - LEFT REAR,615,LOFE137-DRIV-FIDV,LHR,18000H WHEEL END CHANGE LHR,DRIV-FIDV,615DRIV-FIDVLHR
6154050RR,6154050RR,4050,RR,WA600-6LC,615,4050 - FINAL DRIVE,RR - RIGHT REAR,615,LOFE137-DRIV-FIDV,RHR,18000H WHEEL END CHANGE RHR,DRIV-FIDV,615DRIV-FIDVRHR
050100000,050100000,1000,00,988B,050,1000 - ENGINE,00 - (NONE),050,LOFE046-ENGI,,15400H ENGINE CHANGE,ENGI,050ENGI
DHJ1000LT,DHJ1000LT,1000,LT,6040,DHJ,1000 - ENGINE,LT - LEFT,DHJ,,,18000H CHANGE LH ENGINE COUPLING,,
DHJ1000RI,DHJ1000RI,1000,RI,6040,DHJ,1000 - ENGINE,RI - RIGHT,DHJ,,,18000H CHANGE RH ENGINE COUPLING,,
DHJ1353LT,DHJ1353LT,1353,LT,6040,DHJ,1353 - RADIATOR,LT - LEFT,DHJ,EXBH055-ENG1-COSY,,18000H RADIATOR CHANGE LH,ENG1-COSY,DHJENG1-COSY
DHJ1386FR,DHJ1386FR,1386,FR,6040,DHJ,1386 - HYDRAULIC FAN MOTOR,FR - FRONT,DHJ,,,15000H MOTOR HYD COOLING FR,,
DHJ3108LT,DHJ3108LT,3108,LT,6040,DHJ,3108 - PUMP DRIVE GRP,LT - LEFT,DHJ,,,18000H PUMP DRIVE BOX CHANGE LH,,
DHJ4050LT,DHJ4050LT,4050,LT,6040,DHJ,4050 - FINAL DRIVE,LT - LEFT,DHJ,DZTR070-DRIV-FIDV,,18000H FINAL DRIVE CHANGE LH,DRIV-FIDV,DHJDRIV-FIDV
DHJ4050RI,DHJ4050RI,4050,RI,6040,DHJ,4050 - FINAL DRIVE,RI - RIGHT,DHJ,DZTR070-DRIV-FIDV,,18000H FINAL DRIVE CHANGE RH,DRIV-FIDV,DHJDRIV-FIDV
DHJ4150RI,DHJ4150RI,4150,RI,6040,DHJ,4150 - UNDERCARRIAGE,RI - RIGHT,DHJ,,,17500H UNDERCARRIAGE CHANGE RH,,
DHJ4151LT,DHJ4151LT,4151,LT,6040,DHJ,4151 - TRACK ROLLER FRAME,LT - LEFT,DHJ,EXBH072-UCRG-TCFS-TCFL,,52000H TRACK FRAME CHANGE LH,UCRG-TCFS-TCFL,DHJUCRG-TCFS-TCFL
DHJ4151RI,DHJ4151RI,4151,RI,6040,DHJ,4151 - TRACK ROLLER FRAME,RI - RIGHT,DHJ,EXBH072-UCRG-TCFS-TCFR,,52000H TRACK FRAME CHANGE RH,UCRG-TCFS-TCFR,DHJUCRG-TCFS-TCFR
DHJ4159LT,DHJ4159LT,4159,LT,6040,DHJ,4159 - IDLER/IDLER WHEEL,LT - LEFT,DHJ,EXBH054-UCRG-TCID,,10000H IDLER CHANGE LH,UCRG-TCID,DHJUCRG-TCID
DHJ4159RI,DHJ4159RI,4159,RI,6040,DHJ,4159 - IDLER/IDLER WHEEL,RI - RIGHT,DHJ,EXBH054-UCRG-TCID,,10000H IDLER CHANGE RH,UCRG-TCID,DHJUCRG-TCID
DHJ4164LT,DHJ4164LT,4164,LT,6040,DHJ,4164 - SPROCKET ASSEMBLY,LT - LEFT,DHJ,EXFS001-UCRG-DRSP-DRSL,,16000H DRIVE SPROCKET CHANGE LH,UCRG-DRSP-DRSL,DHJUCRG-DRSP-DRSL
DHJ4164RI,DHJ4164RI,4164,RI,6040,DHJ,4164 - SPROCKET ASSEMBLY,RI - RIGHT,DHJ,EXFS001-UCRG-DRSP-DRSR,,16000H DRIVE SPROCKET CHANGE RH,UCRG-DRSP-DRSR,DHJUCRG-DRSP-DRSR
DHJ4170LT,DHJ4170LT,4170,LT,6040,DHJ,4170 - TRACK ASSEMBLY,LT - LEFT,DHJ,EXFS001-UCRG,,16000H TRACK CHANGE LH,UCRG,DHJUCRG
DHJ4351LF,DHJ4351LF,4351,LF,6040,DHJ,4351 - HYD PROPEL/DRIVE MOTOR,LF - LEFT FRONT,DHJ,EXBH055-HYSY-MOHY-TRLL,,15000H TRAVEL MOTOR CHANGE LHF,HYSY-MOHY-TRLL,DHJHYSY-MOHY-TRLL
DHJ4351LR,DHJ4351LR,4351,LR,6040,DHJ,4351 - HYD PROPEL/DRIVE MOTOR,LR - LEFT REAR,DHJ,EXBH055-HYSY-MOHY-TRLL,,15000H TRAVEL MOTOR CHANGE LHR,HYSY-MOHY-TRLL,DHJHYSY-MOHY-TRLL
DHJ4351RF,DHJ4351RF,4351,RF,6040,DHJ,4351 - HYD PROPEL/DRIVE MOTOR,RF - RIGHT FRONT,DHJ,EXBH055-HYSY-MOHY-TRLR,,15000H TRAVEL MOTOR CHANGE RHF,HYSY-MOHY-TRLR,DHJHYSY-MOHY-TRLR
DHJ4351RR,DHJ4351RR,4351,RR,6040,DHJ,4351 - HYD PROPEL/DRIVE MOTOR,RR - RIGHT REAR,DHJ,EXBH054-HYSY-MOHY,,15000H TRAVEL MOTOR CHANGE RHR,HYSY-MOHY,DHJHYSY-MOHY
DHJ5084RF,DHJ5084RF,5084,RF,6040,DHJ,5084 - IMPLEMENT PUMP,RF - RIGHT FRONT,DHJ,EXBH054-HYSY-PUHY,,12000H MAIN PUMP CHANGE POS.2,HYSY-PUHY,DHJHYSY-PUHY
DHJ5084PO,DHJ5084PO,5084,PO,6040,DHJ,5084 - IMPLEMENT PUMP,POS.1,DHJ,,,12000H MAIN PUMP POS.1,,
DHJ5085LT,DHJ5085LT,5085,LT,6040,DHJ,5085 - PILOT PUMP,LT - LEFT,DHJ,,,5000H PUMP SERVO & GEARBOX LUBE LH,,
DHJ5085RI,DHJ5085RI,5085,RI,6040,DHJ,5085 - PILOT PUMP,RI - RIGHT,DHJ,,,5000H PUMP SERVO & GEARBOX LUBE RH,,
DHJ5456LT,DHJ5456LT,5456,LT,6040,DHJ,5456 - BOOM CYLINDER,LT - LEFT,DHJ,EXBH055-HYSY-CYHY-CYBL,,12000H BOOM CYLINDER CHANGE LH,HYSY-CYHY-CYBL,DHJHYSY-CYHY-CYBL
DHJ5456RI,DHJ5456RI,5456,RI,6040,DHJ,5456 - BOOM CYLINDER,RI - RIGHT,DHJ,EXBH072-HYSY-CYHY-CYBR,,12000H BOOM CYLINDER CHANGE RH,HYSY-CYHY-CYBR,DHJHYSY-CYHY-CYBR
DHJ5457LT,DHJ5457LT,5457,LT,6040,DHJ,5457 - BUCKET CYLINDER,LT - LEFT,DHJ,EXBH055-HYSY-CYHY-CYKL,,10000H BUCKET CYLINDER CHANGE LH,HYSY-CYHY-CYKL,DHJHYSY-CYHY-CYKL
DHJ5457RI,DHJ5457RI,5457,RI,6040,DHJ,5457 - BUCKET CYLINDER,RI - RIGHT,DHJ,EXBH055-HYSY-CYHY-CYKR,,10000H BUCKET CYLINDER CHANGE RH,HYSY-CYHY-CYKR,DHJHYSY-CYHY-CYKR
DHJ5458LT,DHJ5458LT,5458,LT,6040,DHJ,5458 - STICK CYLINDER,LT - LEFT,DHJ,EXBH053-HYSY,,10000H STICK CYLINDER CHANGE LH,HYSY,DHJHYSY
DHJ5458RI,DHJ5458RI,5458,RI,6040,DHJ,5458 - STICK CYLINDER,RI - RIGHT,DHJ,EXBH087-HYSY-CYHY-CYSR,,10000H STICK CYLINDER CHANGE RH,HYSY-CYHY-CYSR,DHJHYSY-CYHY-CYSR
DHJ545800,DHJ545800,5458,00,6040,DHJ,5458 - STICK CYLINDER,00 - (NONE),DHJ,EXBH072-IMAT-SICK,,25000H STICK CHANGE,IMAT-SICK,DHJIMAT-SICK
DHJ5459LR,DHJ5459LR,5459,LR,6040,DHJ,5459 - SWING DRIVE,LR - LEFT REAR,DHJ,,,15000H SWING DRIVE BOX CHANGE LHR,,
DHJ5459RF,DHJ5459RF,5459,RF,6040,DHJ,5459 - SWING DRIVE,RF - RIGHT FRONT,DHJ,,,15000H SWING DRIVE BOX CHANGE RHF,,
DHJ5459RR,DHJ5459RR,5459,RR,6040,DHJ,5459 - SWING DRIVE,RR - RIGHT REAR,DHJ,,,15000H SWING DRIVE BOX CHANGE RHR,,
DHJ5473LT,DHJ5473LT,5473,LT,6040,DHJ,5473 - SWING PUMP,LT - LEFT,DHJ,,,12000H PUMP SWING LH (POS.1A-1B CAT),,
DHJ5473RI,DHJ5473RI,5473,RI,6040,DHJ,5473 - SWING PUMP,RI - RIGHT,DHJ,,,12000H PUMP SWING RH (POS.2A-2B CAT),,
