AMT Concat,Concat Code,Comp Code,Mod Code,AMT Model,AMT Serial Prefix,AMT Component Code,AMT Modifier Code,MacMahon Serial Prefix,Functional Location,Position Code,Maintenance Item Description,Functional Location Code,Customer data Concat
ELZ545800,ELZ545800,5458,00,6040,ELZ,5458 - STICK CYLINDER,00 - (NONE),ELZ,EXBH072-IMAT-SICK,,25000H STICK CHANGE,IMAT-SICK,ELZIMAT-SICK
ELZ546100,ELZ546100,5461,00,6040,ELZ,5461 - BOOM CONTROL VALVE,00 - (NONE),ELZ,EXBH055-IMAT-BOOM,,25000H BOOM CHANGE,IMAT-BOOM,ELZIMAT-BOOM
ELZ5473LT,ELZ5473LT,5473,LT,6040,ELZ,5473 - SWING PUMP,LT - LEFT,ELZ,,,12000H PUMP SWING LH (POS.1A-1B CAT),,
ELZ5473RI,ELZ5473RI,5473,RI,6040,ELZ,5473 - SWING PUMP,RI - RIGHT,ELZ,,,12000H PUMP SWING RH (POS.2A-2B CAT),,
ELZ706300,ELZ706300,7063,00,6040,ELZ,7063 - SWING GEAR/BEARING,00 - (NONE),ELZ,EXBH055-SURE-SWBR,,35000H SWING BEARING CHANGE,SURE-SWBR,ELZSURE-SWBR
ELZ,ELZ,,,6040,ELZ,,,ELZ,EXBH055-HYSY-VAHY,,30000H MAIN CONTROL VALVE CHANGE LH,HYSY-VAHY,ELZHYSY-VAHY
ELZ79PALR,ELZ79PALR,79PA,LR,6040,ELZ,79PA - SWING DRIVE MOTOR,LR - LEFT REAR,ELZ,,,15000H SWING MOTOR CHANGE LHR,,
ELZ79PARF,ELZ79PARF,79PA,RF,6040,ELZ,79PA - SWING DRIVE MOTOR,RF - RIGHT FRONT,ELZ,,,15000H SWING MOTOR CHANGE RHF,,
ELZ79PARR,ELZ79PARR,79PA,RR,6040,ELZ,79PA - SWING DRIVE MOTOR,RR - RIGHT REAR,ELZ,,,15000H SWING MOTOR CHANGE RHR,,
ELZ89CSLT,ELZ89CSLT,89CS,LT,6040,ELZ,89CS - ENGINE FAN MOTOR,LT - LEFT,ELZ,,,15000H ENGINE FAN MOTOR CHANGE LH,,
ELZ89CSRI,ELZ89CSRI,89CS,RI,6040,ELZ,89CS - ENGINE FAN MOTOR,RI - RIGHT,ELZ,,,15000H ENGINE FAN MOTOR CHANGE RH,,
EXD100000,EXD100000,1000,00,773F,EXD,1000 - ENGINE,00 - (NONE),EXD,TKWC041-ENGI,,20000H ENGINE CHANGE,ENGI,EXDENGI
EXD135300,EXD135300,1353,00,773F,EXD,1353 - RADIATOR,00 - (NONE),EXD,TKWC041-ENGI-COSY,,20000H RADIATOR CHANGE,ENGI-COSY,EXDENGI-COSY
EXD303000,EXD303000,3030,00,773F,EXD,3030 - TRANSMISSION,00 - (NONE),EXD,TKWC041-DRIV-TMSN,,18000H TRANSMISSION CHANGE,DRIV-TMSN,EXDDRIV-TMSN
