CONCAT(XREF),MODEL,AMT COMPONENT CODE,MACA/Downer,CONCAT AMT
773E4180 - TRACK ROLLER-L06 - LEFT NO. 06,773E,4180 - TRACK ROLLER-L06 - LEFT NO. 06,18101.L06.CNC.0 Load Roller,773E18101.L06.CNC.0 Load Roller
773E4180 - TRACK ROLLER-L07 - LEFT NO. 07,773E,4180 - TRACK ROLLER-L07 - LEFT NO. 07,18101.L07.CNC.0 Load Roller,773E18101.L07.CNC.0 Load Roller
773E4180 - TRACK ROLLER-L08 - LEFT NO. 08,773E,4180 - TRACK ROLLER-L08 - LEFT NO. 08,18101.L08.CNC.0 Load Roller,773E18101.L08.CNC.0 Load Roller
773E4180 - TRACK ROLLER-R01 - RIGHT NO.01,773E,4180 - TRACK ROLLER-R01 - RIGHT NO.01,18101.R01.CNC.0 Load Roller,773E18101.R01.CNC.0 Load Roller
773E4180 - TRACK ROLLER-R02 - RIGHT NO.02,773E,4180 - TRACK ROLLER-R02 - RIGHT NO.02,18101.R02.CNC.0 Load Roller,773E18101.R02.CNC.0 Load Roller
773E4180 - TRACK ROLLER-R03 - RIGHT NO.03,773E,4180 - TRACK ROLLER-R03 - RIGHT NO.03,18101.R03.CNC.0 Load Roller,773E18101.R03.CNC.0 Load Roller
773E4180 - TRACK ROLLER-R04 - RIGHT NO.04,773E,4180 - TRACK ROLLER-R04 - RIGHT NO.04,18101.R04.CNC.0 Load Roller,773E18101.R04.CNC.0 Load Roller
773E4180 - TRACK ROLLER-R05 - RIGHT NO.05,773E,4180 - TRACK ROLLER-R05 - RIGHT NO.05,18101.R05.CNC.0 Load Roller,773E18101.R05.CNC.0 Load Roller
773E4180 - TRACK ROLLER-R06 - RIGHT NO.06,773E,4180 - TRACK ROLLER-R06 - RIGHT NO.06,18101.R06.CNC.0 Load Roller,773E18101.R06.CNC.0 Load Roller
773E4180 - TRACK ROLLER-R07 - RIGHT NO.07,773E,4180 - TRACK ROLLER-R07 - RIGHT NO.07,18101.R07.CNC.0 Load Roller,773E18101.R07.CNC.0 Load Roller
773E4180 - TRACK ROLLER-R08 - RIGHT NO. 08,773E,4180 - TRACK ROLLER-R08 - RIGHT NO. 08,18101.R08.CNC.0 Load Roller,773E18101.R08.CNC.0 Load Roller
773E4159 - IDLER/IDLER WHEEL-LF - LEFT FRONT,773E,4159 - IDLER/IDLER WHEEL-LF - LEFT FRONT,18102.FL.CNC.0 Track Idler,773E18102.FL.CNC.0 Track Idler
773E4159 - IDLER/IDLER WHEEL-RF - RIGHT FRONT,773E,4159 - IDLER/IDLER WHEEL-RF - RIGHT FRONT,18102.FR.CNC.0 Track Idler,773E18102.FR.CNC.0 Track Idler
773E4159 - IDLER/IDLER WHEEL-LR - LEFT REAR,773E,4159 - IDLER/IDLER WHEEL-LR - LEFT REAR,18102.RL.CNC.0 Track Idler,773E18102.RL.CNC.0 Track Idler
773E4159 - IDLER/IDLER WHEEL-RR - RIGHT REAR,773E,4159 - IDLER/IDLER WHEEL-RR - RIGHT REAR,18102.RR.CNC.0 Track Idler,773E18102.RR.CNC.0 Track Idler
773E4164 - SPROCKET ASSEMBLY-LT - LEFT,773E,4164 - SPROCKET ASSEMBLY-LT - LEFT,18202.LH.CNC.0 Sprocket,773E18202.LH.CNC.0 Sprocket
773E4164 - SPROCKET ASSEMBLY-RI - RIGHT,773E,4164 - SPROCKET ASSEMBLY-RI - RIGHT,18202.RH.CNC.0 Sprocket,773E18202.RH.CNC.0 Sprocket
773E1063 - AFTERCOOLER-LT - LEFT,773E,1063 - AFTERCOOLER-LT - LEFT,11000.LH.CNC.0 After cooler,773E11000.LH.CNC.0 After cooler
773E4050 - FINAL DRIVE-LT - LEFT,773E,4050 - FINAL DRIVE-LT - LEFT,13010.LH.CC.0 Final Drive,773E13010.LH.CC.0 Final Drive
773E4050 - FINAL DRIVE-RI - RIGHT,773E,4050 - FINAL DRIVE-RI - RIGHT,13010.RH.CC.0 Final Drive,773E13010.RH.CC.0 Final Drive
773E3251 - UNIVERSAL JOINT-00 - (NONE),773E,3251 - UNIVERSAL JOINT-00 - (NONE),13110.0.CNC.001 Universal Joint,773E13110.0.CNC.001 Universal Joint
"773E3010 - TRANSMISSION, BEVEL & TRANSFER GEARS-00 - (NONE)",773E,"3010 - TRANSMISSION, BEVEL & TRANSFER GEARS-00 - (NONE)",13404.0.CC.0 Transmission And Bevel Gear,773E13404.0.CC.0 Transmission And Bevel Gear
773E89CS - ENGINE FAN MOTOR-00 - (NONE),773E,89CS - ENGINE FAN MOTOR-00 - (NONE),15204.0.CNC.0 Engine Cooling Fan Motor,773E15204.0.CNC.0 Engine Cooling Fan Motor
773E4136 - DIFFERENTIAL STEERING MOTOR-00 - (NONE),773E,4136 - DIFFERENTIAL STEERING MOTOR-00 - (NONE),15217.0.CNC.0 Steering Motor,773E15217.0.CNC.0 Steering Motor
773E89BU - ENGINE FAN PUMP-00 - (NONE),773E,89BU - ENGINE FAN PUMP-00 - (NONE),15309.0.CNC.0 Engine Cooling Fan Pump,773E15309.0.CNC.0 Engine Cooling Fan Pump
,773E,5070 - PISTON PUMP-00 - (NONE),15316.0.CNC.0 Main Pump,773E15316.0.CNC.0 Main Pump
773E4007 - STEERING & BRAKE PUMP-00 - (NONE),773E,4007 - STEERING & BRAKE PUMP-00 - (NONE),15330.0.CNC.0 Steering and Brake Pump,773E15330.0.CNC.0 Steering and Brake Pump
773E4170 - TRACK ASSEMBLY-LT - LEFT,773E,4170 - TRACK ASSEMBLY-LT - LEFT,18204.LH.CNC.0 Track Assembly,773E18204.LH.CNC.0 Track Assembly
773E4170 - TRACK ASSEMBLY-RI - RIGHT,773E,4170 - TRACK ASSEMBLY-RI - RIGHT,18204.RH.CNC.0 Track Assembly,773E18204.RH.CNC.0 Track Assembly
773E,773E,,16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY),773E16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
773E1375 - TORQUE CONVERTER/TRANSMISSION OIL COOLER-P02 - P02,773E,1375 - TORQUE CONVERTER/TRANSMISSION OIL COOLER-P02 - P02,13409.P02.CNCNP.0 Transmission Oil Cooler,773E13409.P02.CNCNP.0 Transmission Oil Cooler
773E4100 - STEERING CLUTCH & BRAKE-LT - LEFT,773E,4100 - STEERING CLUTCH & BRAKE-LT - LEFT,14009.LH.CC.0 Brake and Steering Clutch,773E14009.LH.CC.0 Brake and Steering Clutch
773E4100 - STEERING CLUTCH & BRAKE-RI - RIGHT,773E,4100 - STEERING CLUTCH & BRAKE-RI - RIGHT,14009.RH.CC.0 Brake and Steering Clutch,773E14009.RH.CC.0 Brake and Steering Clutch
773E1063 - AFTERCOOLER-RI -RIGHT,773E,1063 - AFTERCOOLER-RI -RIGHT,11000.RH.CNC.0 After cooler,773E11000.RH.CNC.0 After cooler
773E3251 - UNIVERSAL JOINT-00 - (NONE),773E,3251 - UNIVERSAL JOINT-00 - (NONE),13110.0.CNC.1 Universal Joint,773E13110.0.CNC.1 Universal Joint
773E1052 - TURBOCHARGER-LT - LEFT,773E,1052 - TURBOCHARGER-LT - LEFT,11009.LH.CNCNP.0 Turbocharger,773E11009.LH.CNCNP.0 Turbocharger
773E1052 - TURBOCHARGER-RI - RIGHT,773E,1052 - TURBOCHARGER-RI - RIGHT,11009.RH.CNCNP.0 Turbocharger,773E11009.RH.CNCNP.0 Turbocharger
773E,773E,,18200.LH.CNCNP.0 Grousers,773E18200.LH.CNCNP.0 Grousers
773E,773E,,18200.RH.CNCNP.0 Grousers,773E18200.RH.CNCNP.0 Grousers
773E1375 - TORQUE CONVERTER/TRANSMISSION OIL COOLER-00 - (NONE),773E,1375 - TORQUE CONVERTER/TRANSMISSION OIL COOLER-00 - (NONE),13409.0.CNCNP.0 Transmission Oil Cooler,773E13409.0.CNCNP.0 Transmission Oil Cooler
773E3204 - CHARGE PUMP-00 - (NONE),773E,3204 - CHARGE PUMP-00 - (NONE),15370.0.CNC.0 Charging Pump,773E15370.0.CNC.0 Charging Pump
